,Instrument,Date,Total Debt
0,MMM,1983-12-31T00:00:00Z,
1,MMM,1983-12-31T00:00:00Z,
2,MMM,1983-12-31T00:00:00Z,
3,MMM,1983-12-31T00:00:00Z,
4,MMM,1983-12-31T00:00:00Z,
5,MMM,1983-12-31T00:00:00Z,606000000.0
6,MMM,1984-12-31T00:00:00Z,743000000.0
7,MMM,1985-12-31T00:00:00Z,890000000.0
8,MMM,1986-12-31T00:00:00Z,847000000.0
9,MMM,1987-12-31T00:00:00Z,699000000.0
10,MMM,1988-12-31T00:00:00Z,757000000.0
11,MMM,1989-12-31T00:00:00Z,1340000000.0
12,MMM,1991-12-31T00:00:00Z,1473000000.0
13,MMM,1991-12-31T00:00:00Z,1473000000.0
14,MMM,1992-12-31T00:00:00Z,1426000000.0
15,MMM,1993-12-31T00:00:00Z,1493000000.0
16,MMM,1994-12-31T00:00:00Z,1948000000.0
17,MMM,1995-12-31T00:00:00Z,2025000000.0
18,MMM,1996-12-31T00:00:00Z,1968000000.0
19,MMM,1997-12-31T00:00:00Z,2514000000.0
20,MMM,1998-12-31T00:00:00Z,3106000000.0
21,MMM,1999-12-31T00:00:00Z,2610000000.0
22,MMM,2000-12-31T00:00:00Z,2837000000.0
23,MMM,2001-12-31T00:00:00Z,2893000000.0
24,MMM,2002-12-31T00:00:00Z,3377000000.0
25,MMM,2003-12-31T00:00:00Z,2937000000.0
26,MMM,2004-12-31T00:00:00Z,2821000000.0
27,MMM,2005-12-31T00:00:00Z,2381000000.0
28,MMM,2006-12-31T00:00:00Z,3553000000.0
29,MMM,2007-12-31T00:00:00Z,4920000000.0
30,MMM,2008-12-31T00:00:00Z,6776000000.0
31,MMM,2009-12-31T00:00:00Z,5817000000.0
32,MMM,2010-12-31T00:00:00Z,5546000000.0
33,MMM,2011-12-31T00:00:00Z,5166000000.0
34,MMM,2012-12-31T00:00:00Z,6072000000.0
35,MMM,2013-12-31T00:00:00Z,6067000000.0
36,MMM,2014-12-31T00:00:00Z,6870000000.0
37,MMM,2015-12-31T00:00:00Z,10843000000.0
38,MMM,2016-12-31T00:00:00Z,11695000000.0
39,MMM,2017-12-31T00:00:00Z,14009000000.0
40,MMM,2018-12-31T00:00:00Z,14697000000.0
41,MMM,2019-12-31T00:00:00Z,20445000000.0
42,MMM,2020-12-31T00:00:00Z,18910000000.0
43,AOS,1983-12-31T00:00:00Z,
44,AOS,1983-12-31T00:00:00Z,
45,AOS,1983-12-31T00:00:00Z,
46,AOS,1983-12-31T00:00:00Z,
47,AOS,1983-12-31T00:00:00Z,
48,AOS,1983-12-31T00:00:00Z,87442000.0
49,AOS,1984-12-31T00:00:00Z,120472000.0
50,AOS,1985-12-31T00:00:00Z,91030000.0
51,AOS,1986-12-31T00:00:00Z,141241000.0
52,AOS,1987-12-31T00:00:00Z,123433000.0
53,AOS,1988-12-31T00:00:00Z,141881000.0
54,AOS,1990-12-31T00:00:00Z,163252000.0
55,AOS,1991-12-31T00:00:00Z,183450000.0
56,AOS,1991-12-31T00:00:00Z,183450000.0
57,AOS,1992-12-31T00:00:00Z,180690000.0
58,AOS,1993-12-31T00:00:00Z,204991000.0
59,AOS,1994-12-31T00:00:00Z,173381000.0
60,AOS,1995-12-31T00:00:00Z,195871000.0
61,AOS,1996-12-31T00:00:00Z,250378000.0
62,AOS,1997-12-31T00:00:00Z,106562000.0
63,AOS,1998-12-31T00:00:00Z,135832000.0
64,AOS,1999-12-31T00:00:00Z,360880000.0
65,AOS,2000-12-31T00:00:00Z,327501000.0
66,AOS,2001-12-31T00:00:00Z,406937000.0
67,AOS,2002-12-31T00:00:00Z,250800000.0
68,AOS,2003-12-31T00:00:00Z,275500000.0
69,AOS,2004-12-31T00:00:00Z,281100000.0
70,AOS,2005-12-31T00:00:00Z,169300000.0
71,AOS,2006-12-31T00:00:00Z,439000000.0
72,AOS,2007-12-31T00:00:00Z,395200000.0
73,AOS,2008-12-31T00:00:00Z,334800000.0
74,AOS,2009-12-31T00:00:00Z,253200000.0
75,AOS,2010-12-31T00:00:00Z,261000000.0
76,AOS,2011-12-31T00:00:00Z,461600000.0
77,AOS,2012-12-31T00:00:00Z,243700000.0
78,AOS,2013-12-31T00:00:00Z,191900000.0
79,AOS,2014-12-31T00:00:00Z,223800000.0
80,AOS,2015-12-31T00:00:00Z,249000000.0
81,AOS,2016-12-31T00:00:00Z,323600000.0
82,AOS,2017-12-31T00:00:00Z,410400000.0
83,AOS,2018-12-31T00:00:00Z,221400000.0
84,AOS,2019-12-31T00:00:00Z,284000000.0
85,AOS,2020-12-31T00:00:00Z,113200000.0
86,ABT,1983-12-31T00:00:00Z,
87,ABT,1983-12-31T00:00:00Z,
88,ABT,1983-12-31T00:00:00Z,
89,ABT,1983-12-31T00:00:00Z,
90,ABT,1983-12-31T00:00:00Z,
91,ABT,1983-12-31T00:00:00Z,632149000.0
92,ABT,1984-12-31T00:00:00Z,742834000.0
93,ABT,1985-12-31T00:00:00Z,565812000.0
94,ABT,1986-12-31T00:00:00Z,889076000.0
95,ABT,1987-12-31T00:00:00Z,877395000.0
96,ABT,1988-12-31T00:00:00Z,842580000.0
97,ABT,1989-12-31T00:00:00Z,447233000.0
98,ABT,1990-12-31T00:00:00Z,798672000.0
99,ABT,1991-12-31T00:00:00Z,669368000.0
100,ABT,1992-12-31T00:00:00Z,1026281000.0
101,ABT,1993-12-31T00:00:00Z,1150434000.0
102,ABT,1994-12-31T00:00:00Z,1059594000.0
103,ABT,1995-12-31T00:00:00Z,1485061000.0
104,ABT,1996-12-31T00:00:00Z,2316625000.0
105,ABT,1997-12-31T00:00:00Z,2719546000.0
106,ABT,1998-12-31T00:00:00Z,3098839000.0
107,ABT,1999-12-31T00:00:00Z,2233060000.0
108,ABT,2000-12-31T00:00:00Z,1555822000.0
109,ABT,2001-12-31T00:00:00Z,7288828000.0
110,ABT,2002-12-31T00:00:00Z,6422627000.0
111,ABT,2003-12-31T00:00:00Z,5989686000.0
112,ABT,2004-12-31T00:00:00Z,6780617000.0
113,ABT,2005-12-31T00:00:00Z,6633514000.0
114,ABT,2006-12-31T00:00:00Z,12410925000.0
115,ABT,2007-12-31T00:00:00Z,12213704000.0
116,ABT,2008-12-31T00:00:00Z,11445302000.0
117,ABT,2009-12-31T00:00:00Z,16455914000.0
118,ABT,2010-12-31T00:00:00Z,18918283000.0
119,ABT,2011-12-31T00:00:00Z,15414577000.0
120,ABT,2012-12-31T00:00:00Z,19861000000.0
121,ABT,2013-12-31T00:00:00Z,6056000000.0
122,ABT,2014-12-31T00:00:00Z,7385000000.0
123,ABT,2015-12-31T00:00:00Z,8562000000.0
124,ABT,2016-12-31T00:00:00Z,21552000000.0
125,ABT,2017-12-31T00:00:00Z,27924000000.0
126,ABT,2018-12-31T00:00:00Z,19566000000.0
127,ABT,2019-12-31T00:00:00Z,17593000000.0
128,ABT,2020-12-31T00:00:00Z,18747000000.0
131,ACN,1999-08-31T00:00:00Z,
132,ACN,1999-08-31T00:00:00Z,
133,ACN,1999-08-31T00:00:00Z,
134,ACN,1999-08-31T00:00:00Z,
135,ACN,1999-08-31T00:00:00Z,
136,ACN,1999-08-31T00:00:00Z,
137,ACN,1999-08-31T00:00:00Z,
138,ACN,1999-08-31T00:00:00Z,
139,ACN,1999-08-31T00:00:00Z,
140,ACN,1999-08-31T00:00:00Z,
141,ACN,1999-08-31T00:00:00Z,
142,ACN,1999-08-31T00:00:00Z,
143,ACN,1999-08-31T00:00:00Z,
144,ACN,1999-08-31T00:00:00Z,
145,ACN,1999-08-31T00:00:00Z,
146,ACN,1999-08-31T00:00:00Z,
147,ACN,1999-08-31T00:00:00Z,
148,ACN,1999-08-31T00:00:00Z,
149,ACN,1999-08-31T00:00:00Z,
150,ACN,1999-08-31T00:00:00Z,
151,ACN,1999-08-31T00:00:00Z,284151000.0
152,ACN,2000-08-31T00:00:00Z,293551000.0
153,ACN,2001-08-31T00:00:00Z,191759000.0
154,ACN,2002-08-31T00:00:00Z,66527000.0
155,ACN,2003-08-31T00:00:00Z,60117000.0
156,ACN,2004-08-31T00:00:00Z,68876000.0
157,ACN,2005-08-31T00:00:00Z,75188000.0
158,ACN,2006-08-31T00:00:00Z,51857000.0
159,ACN,2007-08-31T00:00:00Z,26360000.0
160,ACN,2008-08-31T00:00:00Z,8278000.0
161,ACN,2009-08-31T00:00:00Z,955000.0
162,ACN,2010-08-31T00:00:00Z,1588000.0
163,ACN,2011-08-31T00:00:00Z,4419000.0
164,ACN,2012-08-31T00:00:00Z,33000.0
165,ACN,2013-08-31T00:00:00Z,25600000.0
166,ACN,2014-08-31T00:00:00Z,26733000.0
167,ACN,2015-08-31T00:00:00Z,27435000.0
168,ACN,2016-08-31T00:00:00Z,27230000.0
169,ACN,2017-08-31T00:00:00Z,25070000.0
170,ACN,2018-08-31T00:00:00Z,25013000.0
171,ACN,2019-08-31T00:00:00Z,22658000.0
172,ACN,2020-08-31T00:00:00Z,61872000.0
173,ACN,2021-08-31T00:00:00Z,65553000.0
175,ADM,1983-06-30T00:00:00Z,
176,ADM,1983-06-30T00:00:00Z,
177,ADM,1983-06-30T00:00:00Z,
178,ADM,1983-06-30T00:00:00Z,
179,ADM,1983-06-30T00:00:00Z,489291000.0
180,ADM,1984-06-30T00:00:00Z,486976000.0
181,ADM,1985-06-30T00:00:00Z,581271000.0
182,ADM,1986-06-30T00:00:00Z,582962000.0
183,ADM,1987-06-30T00:00:00Z,671151000.0
184,ADM,1988-06-30T00:00:00Z,709551000.0
185,ADM,1989-06-30T00:00:00Z,705399000.0
186,ADM,1990-06-30T00:00:00Z,771150000.0
187,ADM,1991-06-30T00:00:00Z,1117043000.0
188,ADM,1992-06-30T00:00:00Z,1592752000.0
189,ADM,1993-06-30T00:00:00Z,2070429000.0
190,ADM,1994-06-30T00:00:00Z,2045133000.0
191,ADM,1995-06-30T00:00:00Z,2085709000.0
192,ADM,1996-06-30T00:00:00Z,2117501000.0
193,ADM,1997-06-30T00:00:00Z,2973447000.0
194,ADM,1998-06-30T00:00:00Z,4413465000.0
195,ADM,1999-06-30T00:00:00Z,4460159000.0
196,ADM,2000-06-30T00:00:00Z,4859684000.0
197,ADM,2001-06-30T00:00:00Z,4608914000.0
198,ADM,2002-06-30T00:00:00Z,4384557000.0
199,ADM,2003-06-30T00:00:00Z,5182658000.0
200,ADM,2004-06-30T00:00:00Z,5671182000.0
201,ADM,2005-06-30T00:00:00Z,4178886000.0
202,ADM,2006-06-30T00:00:00Z,4679510000.0
203,ADM,2007-06-30T00:00:00Z,5285000000.0
204,ADM,2008-06-30T00:00:00Z,11045000000.0
205,ADM,2009-06-30T00:00:00Z,7996000000.0
206,ADM,2010-06-30T00:00:00Z,7548000000.0
207,ADM,2011-06-30T00:00:00Z,10319000000.0
208,ADM,2011-06-30T00:00:00Z,10319000000.0
209,ADM,2012-12-31T00:00:00Z,9540000000.0
210,ADM,2013-12-31T00:00:00Z,6870000000.0
211,ADM,2014-12-31T00:00:00Z,5660000000.0
212,ADM,2015-12-31T00:00:00Z,5877000000.0
213,ADM,2016-12-31T00:00:00Z,6931000000.0
214,ADM,2017-12-31T00:00:00Z,7493000000.0
215,ADM,2018-12-31T00:00:00Z,8388000000.0
216,ADM,2019-12-31T00:00:00Z,8881000000.0
217,ADM,2020-12-31T00:00:00Z,9929000000.0
220,AAP,2000-01-01T00:00:00Z,
221,AAP,2000-01-01T00:00:00Z,
222,AAP,2000-01-01T00:00:00Z,
223,AAP,2000-01-01T00:00:00Z,
224,AAP,2000-01-01T00:00:00Z,
225,AAP,2000-01-01T00:00:00Z,
226,AAP,2000-01-01T00:00:00Z,
227,AAP,2000-01-01T00:00:00Z,
228,AAP,2000-01-01T00:00:00Z,
229,AAP,2000-01-01T00:00:00Z,
230,AAP,2000-01-01T00:00:00Z,
231,AAP,2000-01-01T00:00:00Z,
232,AAP,2000-01-01T00:00:00Z,
233,AAP,2000-01-01T00:00:00Z,
234,AAP,2000-01-01T00:00:00Z,
235,AAP,2000-01-01T00:00:00Z,
236,AAP,2000-01-01T00:00:00Z,
237,AAP,2000-01-01T00:00:00Z,
238,AAP,2000-01-01T00:00:00Z,
239,AAP,2000-01-01T00:00:00Z,
240,AAP,2000-01-01T00:00:00Z,650044000.0
241,AAP,2000-12-30T00:00:00Z,600548000.0
242,AAP,2000-12-30T00:00:00Z,600548000.0
243,AAP,2001-12-29T00:00:00Z,990485000.0
244,AAP,2002-12-28T00:00:00Z,736391000.0
245,AAP,2004-01-03T00:00:00Z,476085000.0
246,AAP,2005-01-01T00:00:00Z,547080000.0
247,AAP,2005-12-31T00:00:00Z,608321000.0
248,AAP,2006-12-30T00:00:00Z,638989000.0
249,AAP,2007-12-29T00:00:00Z,689221000.0
250,AAP,2009-01-03T00:00:00Z,613138000.0
251,AAP,2010-01-02T00:00:00Z,245891000.0
252,AAP,2011-01-01T00:00:00Z,343028000.0
253,AAP,2011-12-31T00:00:00Z,432165000.0
254,AAP,2012-12-29T00:00:00Z,613810000.0
255,AAP,2013-12-28T00:00:00Z,1053584000.0
256,AAP,2015-01-03T00:00:00Z,1636893000.0
257,AAP,2016-01-02T00:00:00Z,1206895000.0
258,AAP,2016-12-31T00:00:00Z,1043255000.0
259,AAP,2017-12-30T00:00:00Z,1044327000.0
260,AAP,2018-12-29T00:00:00Z,1045720000.0
261,AAP,2019-12-28T00:00:00Z,747320000.0
262,AAP,2021-01-02T00:00:00Z,1032984000.0
263,AES,1990-12-31T00:00:00Z,
264,AES,1990-12-31T00:00:00Z,
265,AES,1990-12-31T00:00:00Z,
266,AES,1990-12-31T00:00:00Z,
267,AES,1990-12-31T00:00:00Z,
268,AES,1990-12-31T00:00:00Z,
269,AES,1990-12-31T00:00:00Z,
270,AES,1990-12-31T00:00:00Z,
271,AES,1990-12-31T00:00:00Z,
272,AES,1990-12-31T00:00:00Z,
273,AES,1990-12-31T00:00:00Z,
274,AES,1990-12-31T00:00:00Z,
275,AES,1990-12-31T00:00:00Z,1040550000.0
276,AES,1992-12-31T00:00:00Z,1267029000.0
277,AES,1992-12-31T00:00:00Z,1267029000.0
278,AES,1993-12-31T00:00:00Z,1278590000.0
279,AES,1994-12-31T00:00:00Z,1204900000.0
280,AES,1995-12-31T00:00:00Z,1357000000.0
281,AES,1996-12-31T00:00:00Z,2206000000.0
282,AES,1997-12-31T00:00:00Z,5731000000.0
283,AES,1998-12-31T00:00:00Z,7204000000.0
284,AES,1999-12-31T00:00:00Z,13352000000.0
285,AES,2000-12-31T00:00:00Z,19844000000.0
286,AES,2001-12-31T00:00:00Z,19855000000.0
287,AES,2002-12-31T00:00:00Z,20102000000.0
288,AES,2003-12-31T00:00:00Z,19638000000.0
289,AES,2004-12-31T00:00:00Z,18588000000.0
290,AES,2005-12-31T00:00:00Z,16567000000.0
291,AES,2006-12-31T00:00:00Z,16032000000.0
292,AES,2007-12-31T00:00:00Z,17990000000.0
293,AES,2008-12-31T00:00:00Z,17690000000.0
294,AES,2009-12-31T00:00:00Z,19537000000.0
295,AES,2010-12-31T00:00:00Z,18788000000.0
296,AES,2011-12-31T00:00:00Z,22020000000.0
297,AES,2012-12-31T00:00:00Z,20721000000.0
298,AES,2013-12-31T00:00:00Z,21049000000.0
299,AES,2014-12-31T00:00:00Z,20858000000.0
300,AES,2015-12-31T00:00:00Z,20081000000.0
301,AES,2016-12-31T00:00:00Z,19454000000.0
302,AES,2017-12-31T00:00:00Z,19965000000.0
303,AES,2018-12-31T00:00:00Z,19295000000.0
304,AES,2019-12-31T00:00:00Z,20173000000.0
305,AES,2020-12-31T00:00:00Z,19881000000.0
306,AFL,1983-12-31T00:00:00Z,
307,AFL,1983-12-31T00:00:00Z,
308,AFL,1983-12-31T00:00:00Z,
309,AFL,1983-12-31T00:00:00Z,
310,AFL,1983-12-31T00:00:00Z,
311,AFL,1983-12-31T00:00:00Z,23825000.0
312,AFL,1984-12-31T00:00:00Z,25251000.0
313,AFL,1985-12-31T00:00:00Z,55619000.0
314,AFL,1986-12-31T00:00:00Z,64953000.0
315,AFL,1987-12-31T00:00:00Z,83237000.0
316,AFL,1988-12-31T00:00:00Z,174254000.0
317,AFL,1989-12-31T00:00:00Z,213931000.0
318,AFL,1990-12-31T00:00:00Z,157738000.0
319,AFL,1991-12-31T00:00:00Z,138810000.0
320,AFL,1992-12-31T00:00:00Z,125800000.0
321,AFL,1993-12-31T00:00:00Z,122062000.0
322,AFL,1995-12-31T00:00:00Z,327268000.0
323,AFL,1995-12-31T00:00:00Z,327268000.0
324,AFL,1996-12-31T00:00:00Z,353533000.0
325,AFL,1997-12-31T00:00:00Z,523209000.0
326,AFL,1998-12-31T00:00:00Z,596000000.0
327,AFL,1999-12-31T00:00:00Z,1018000000.0
328,AFL,2000-12-31T00:00:00Z,1079000000.0
329,AFL,2001-12-31T00:00:00Z,1207000000.0
330,AFL,2002-12-31T00:00:00Z,1312000000.0
331,AFL,2003-12-31T00:00:00Z,1409000000.0
332,AFL,2004-12-31T00:00:00Z,1429000000.0
333,AFL,2005-12-31T00:00:00Z,1395000000.0
334,AFL,2006-12-31T00:00:00Z,1426000000.0
335,AFL,2007-12-31T00:00:00Z,1465000000.0
336,AFL,2008-12-31T00:00:00Z,1721000000.0
337,AFL,2009-12-31T00:00:00Z,2599000000.0
338,AFL,2010-12-31T00:00:00Z,3038000000.0
339,AFL,2011-12-31T00:00:00Z,3285000000.0
340,AFL,2012-12-31T00:00:00Z,4352000000.0
341,AFL,2013-12-31T00:00:00Z,4897000000.0
342,AFL,2014-12-31T00:00:00Z,5282000000.0
343,AFL,2015-12-31T00:00:00Z,4971000000.0
344,AFL,2016-12-31T00:00:00Z,5360000000.0
345,AFL,2017-12-31T00:00:00Z,5289000000.0
346,AFL,2018-12-31T00:00:00Z,5778000000.0
347,AFL,2019-12-31T00:00:00Z,6420000000.0
348,AFL,2020-12-31T00:00:00Z,7756000000.0
349,A,1997-10-31T00:00:00Z,
350,A,1997-10-31T00:00:00Z,
351,A,1997-10-31T00:00:00Z,
352,A,1997-10-31T00:00:00Z,
353,A,1997-10-31T00:00:00Z,
354,A,1997-10-31T00:00:00Z,
355,A,1997-10-31T00:00:00Z,
356,A,1997-10-31T00:00:00Z,
357,A,1997-10-31T00:00:00Z,
358,A,1997-10-31T00:00:00Z,
359,A,1997-10-31T00:00:00Z,
360,A,1997-10-31T00:00:00Z,
361,A,1997-10-31T00:00:00Z,
362,A,1997-10-31T00:00:00Z,
363,A,1997-10-31T00:00:00Z,
364,A,1997-10-31T00:00:00Z,
365,A,1997-10-31T00:00:00Z,
366,A,1997-10-31T00:00:00Z,
367,A,1997-10-31T00:00:00Z,0.0
368,A,1997-10-31T00:00:00Z,0.0
369,A,1999-10-31T00:00:00Z,0.0
370,A,2000-10-31T00:00:00Z,110000000.0
371,A,2001-10-31T00:00:00Z,6000000.0
372,A,2002-10-31T00:00:00Z,1150000000.0
373,A,2003-10-31T00:00:00Z,1150000000.0
374,A,2004-10-31T00:00:00Z,1150000000.0
375,A,2005-10-31T00:00:00Z,0.0
376,A,2006-10-31T00:00:00Z,1500000000.0
377,A,2007-10-31T00:00:00Z,2087000000.0
378,A,2008-10-31T00:00:00Z,2125000000.0
379,A,2009-10-31T00:00:00Z,2904000000.0
380,A,2010-10-31T00:00:00Z,3691000000.0
381,A,2011-10-31T00:00:00Z,2185000000.0
382,A,2012-10-31T00:00:00Z,2362000000.0
383,A,2013-10-31T00:00:00Z,2699000000.0
384,A,2014-10-31T00:00:00Z,1663000000.0
385,A,2015-10-31T00:00:00Z,1655000000.0
386,A,2016-10-31T00:00:00Z,1904000000.0
387,A,2017-10-31T00:00:00Z,2011000000.0
388,A,2018-10-31T00:00:00Z,1799000000.0
389,A,2019-10-31T00:00:00Z,2407000000.0
390,A,2020-10-31T00:00:00Z,2359000000.0
391,A,2021-10-31T00:00:00Z,2729000000.0
392,APD,1983-09-30T00:00:00Z,
393,APD,1983-09-30T00:00:00Z,
394,APD,1983-09-30T00:00:00Z,
395,APD,1983-09-30T00:00:00Z,
396,APD,1983-09-30T00:00:00Z,484195000.0
397,APD,1984-09-30T00:00:00Z,461217000.0
398,APD,1985-09-30T00:00:00Z,588516000.0
399,APD,1986-09-30T00:00:00Z,732489000.0
400,APD,1987-09-30T00:00:00Z,667985000.0
401,APD,1988-09-30T00:00:00Z,765551000.0
402,APD,1989-09-30T00:00:00Z,900318000.0
403,APD,1990-09-30T00:00:00Z,1057300000.0
404,APD,1991-09-30T00:00:00Z,1135000000.0
405,APD,1992-09-30T00:00:00Z,1077000000.0
406,APD,1993-09-30T00:00:00Z,1251000000.0
407,APD,1994-09-30T00:00:00Z,1243500000.0
408,APD,1995-09-30T00:00:00Z,1681000000.0
409,APD,1996-09-30T00:00:00Z,2194900000.0
410,APD,1997-09-30T00:00:00Z,2468100000.0
411,APD,1998-09-30T00:00:00Z,2697500000.0
412,APD,1999-09-30T00:00:00Z,2842200000.0
413,APD,2000-09-30T00:00:00Z,3045000000.0
414,APD,2001-09-30T00:00:00Z,2477700000.0
415,APD,2002-09-30T00:00:00Z,2385000000.0
416,APD,2003-09-30T00:00:00Z,2510700000.0
417,APD,2004-09-30T00:00:00Z,2393700000.0
418,APD,2005-09-30T00:00:00Z,2493700000.0
419,APD,2006-09-30T00:00:00Z,2849800000.0
420,APD,2007-09-30T00:00:00Z,3667800000.0
421,APD,2008-09-30T00:00:00Z,3966800000.0
422,APD,2009-09-30T00:00:00Z,4501500000.0
423,APD,2010-09-30T00:00:00Z,4128300000.0
424,APD,2011-09-30T00:00:00Z,4561500000.0
425,APD,2012-09-30T00:00:00Z,5291900000.0
426,APD,2013-09-30T00:00:00Z,6273600000.0
427,APD,2014-09-30T00:00:00Z,6118500000.0
428,APD,2015-09-30T00:00:00Z,5879000000.0
429,APD,2016-09-30T00:00:00Z,5210900000.0
430,APD,2017-09-30T00:00:00Z,3962800000.0
431,APD,2018-09-30T00:00:00Z,3812600000.0
432,APD,2019-09-30T00:00:00Z,3326000000.0
433,APD,2020-09-30T00:00:00Z,7907800000.0
434,APD,2021-09-30T00:00:00Z,7637200000.0
436,ALK,1984-12-31T00:00:00Z,
437,ALK,1984-12-31T00:00:00Z,
438,ALK,1984-12-31T00:00:00Z,
439,ALK,1984-12-31T00:00:00Z,
440,ALK,1984-12-31T00:00:00Z,
441,ALK,1984-12-31T00:00:00Z,
442,ALK,1984-12-31T00:00:00Z,108745000.0
443,ALK,1985-12-31T00:00:00Z,244381000.0
444,ALK,1986-12-31T00:00:00Z,310892000.0
445,ALK,1987-12-31T00:00:00Z,211253000.0
446,ALK,1988-12-31T00:00:00Z,178038000.0
447,ALK,1989-12-31T00:00:00Z,235213000.0
448,ALK,1991-12-31T00:00:00Z,522288000.0
449,ALK,1991-12-31T00:00:00Z,522288000.0
450,ALK,1992-12-31T00:00:00Z,556287000.0
451,ALK,1993-12-31T00:00:00Z,580993000.0
452,ALK,1994-12-31T00:00:00Z,686909000.0
453,ALK,1995-12-31T00:00:00Z,628000000.0
454,ALK,1996-12-31T00:00:00Z,475200000.0
455,ALK,1997-12-31T00:00:00Z,430100000.0
456,ALK,1998-12-31T00:00:00Z,198700000.0
457,ALK,1999-12-31T00:00:00Z,403500000.0
458,ALK,2000-12-31T00:00:00Z,675900000.0
459,ALK,2001-12-31T00:00:00Z,895400000.0
460,ALK,2002-12-31T00:00:00Z,905300000.0
461,ALK,2003-12-31T00:00:00Z,1113600000.0
462,ALK,2004-12-31T00:00:00Z,1043000000.0
463,ALK,2005-12-31T00:00:00Z,1082600000.0
464,ALK,2006-12-31T00:00:00Z,1150800000.0
465,ALK,2007-12-31T00:00:00Z,1300500000.0
466,ALK,2008-12-31T00:00:00Z,1841200000.0
467,ALK,2009-12-31T00:00:00Z,1855200000.0
468,ALK,2010-12-31T00:00:00Z,1534200000.0
469,ALK,2011-12-31T00:00:00Z,1307000000.0
470,ALK,2012-12-31T00:00:00Z,1032000000.0
471,ALK,2013-12-31T00:00:00Z,871000000.0
472,ALK,2014-12-31T00:00:00Z,803000000.0
473,ALK,2015-12-31T00:00:00Z,686000000.0
474,ALK,2016-12-31T00:00:00Z,2964000000.0
475,ALK,2017-12-31T00:00:00Z,2569000000.0
476,ALK,2018-12-31T00:00:00Z,2103000000.0
477,ALK,2019-12-31T00:00:00Z,1499000000.0
478,ALK,2020-12-31T00:00:00Z,3495000000.0
479,ALB,1992-12-31T00:00:00Z,
480,ALB,1992-12-31T00:00:00Z,
481,ALB,1992-12-31T00:00:00Z,
482,ALB,1992-12-31T00:00:00Z,
483,ALB,1992-12-31T00:00:00Z,
484,ALB,1992-12-31T00:00:00Z,
485,ALB,1992-12-31T00:00:00Z,
486,ALB,1992-12-31T00:00:00Z,
487,ALB,1992-12-31T00:00:00Z,
488,ALB,1992-12-31T00:00:00Z,
489,ALB,1992-12-31T00:00:00Z,
490,ALB,1992-12-31T00:00:00Z,
491,ALB,1992-12-31T00:00:00Z,
492,ALB,1992-12-31T00:00:00Z,
493,ALB,1992-12-31T00:00:00Z,114937000.0
494,ALB,1993-12-31T00:00:00Z,95447000.0
495,ALB,1994-12-31T00:00:00Z,256462000.0
496,ALB,1995-12-31T00:00:00Z,217112000.0
497,ALB,1996-12-31T00:00:00Z,31863000.0
498,ALB,1997-12-31T00:00:00Z,91793000.0
499,ALB,1998-12-31T00:00:00Z,192938000.0
500,ALB,1999-12-31T00:00:00Z,159760000.0
501,ALB,2000-12-31T00:00:00Z,97980000.0
502,ALB,2001-12-31T00:00:00Z,170215000.0
503,ALB,2002-12-31T00:00:00Z,190628000.0
504,ALB,2003-12-31T00:00:00Z,228579000.0
505,ALB,2004-12-31T00:00:00Z,944631000.0
506,ALB,2005-12-31T00:00:00Z,833453000.0
507,ALB,2006-12-31T00:00:00Z,732590000.0
508,ALB,2007-12-31T00:00:00Z,723938000.0
509,ALB,2008-12-31T00:00:00Z,932264000.0
510,ALB,2009-12-31T00:00:00Z,812713000.0
511,ALB,2010-12-31T00:00:00Z,860910000.0
512,ALB,2011-12-31T00:00:00Z,763673000.0
513,ALB,2012-12-31T00:00:00Z,699288000.0
514,ALB,2013-12-31T00:00:00Z,1078864000.0
515,ALB,2014-12-31T00:00:00Z,2934131000.0
516,ALB,2015-12-31T00:00:00Z,3817157000.0
517,ALB,2016-12-31T00:00:00Z,2369262000.0
518,ALB,2017-12-31T00:00:00Z,1837372000.0
519,ALB,2018-12-31T00:00:00Z,1705210000.0
520,ALB,2019-12-31T00:00:00Z,3050257000.0
521,ALB,2020-12-31T00:00:00Z,3572058000.0
522,ARE,1995-12-31T00:00:00Z,
523,ARE,1995-12-31T00:00:00Z,
524,ARE,1995-12-31T00:00:00Z,
525,ARE,1995-12-31T00:00:00Z,
526,ARE,1995-12-31T00:00:00Z,
527,ARE,1995-12-31T00:00:00Z,
528,ARE,1995-12-31T00:00:00Z,
529,ARE,1995-12-31T00:00:00Z,
530,ARE,1995-12-31T00:00:00Z,
531,ARE,1995-12-31T00:00:00Z,
532,ARE,1995-12-31T00:00:00Z,
533,ARE,1995-12-31T00:00:00Z,
534,ARE,1995-12-31T00:00:00Z,
535,ARE,1995-12-31T00:00:00Z,
536,ARE,1995-12-31T00:00:00Z,
537,ARE,1995-12-31T00:00:00Z,
538,ARE,1995-12-31T00:00:00Z,40894000.0
539,ARE,1995-12-31T00:00:00Z,40894000.0
540,ARE,1995-12-31T00:00:00Z,40894000.0
541,ARE,1997-12-31T00:00:00Z,70817000.0
542,ARE,1998-12-31T00:00:00Z,309829000.0
543,ARE,1999-12-31T00:00:00Z,350512000.0
544,ARE,2000-12-31T00:00:00Z,431256000.0
545,ARE,2001-12-31T00:00:00Z,573161000.0
546,ARE,2002-12-31T00:00:00Z,614878000.0
