,Instrument,Date,Cash and Short Term Investments
0,MMM,1983-12-31T00:00:00Z,
1,MMM,1983-12-31T00:00:00Z,
2,MMM,1983-12-31T00:00:00Z,
3,MMM,1983-12-31T00:00:00Z,
4,MMM,1983-12-31T00:00:00Z,
5,MMM,1983-12-31T00:00:00Z,237000000.0
6,MMM,1984-12-31T00:00:00Z,182000000.0
7,MMM,1985-12-31T00:00:00Z,192000000.0
8,MMM,1986-12-31T00:00:00Z,545000000.0
9,MMM,1987-12-31T00:00:00Z,706000000.0
10,MMM,1988-12-31T00:00:00Z,904000000.0
11,MMM,1989-12-31T00:00:00Z,752000000.0
12,MMM,1991-12-31T00:00:00Z,438000000.0
13,MMM,1991-12-31T00:00:00Z,438000000.0
14,MMM,1992-12-31T00:00:00Z,722000000.0
15,MMM,1993-12-31T00:00:00Z,656000000.0
16,MMM,1994-12-31T00:00:00Z,491000000.0
17,MMM,1995-12-31T00:00:00Z,772000000.0
18,MMM,1996-12-31T00:00:00Z,744000000.0
19,MMM,1997-12-31T00:00:00Z,477000000.0
20,MMM,1998-12-31T00:00:00Z,448000000.0
21,MMM,1999-12-31T00:00:00Z,387000000.0
22,MMM,2000-12-31T00:00:00Z,302000000.0
23,MMM,2001-12-31T00:00:00Z,616000000.0
24,MMM,2002-12-31T00:00:00Z,618000000.0
25,MMM,2003-12-31T00:00:00Z,1836000000.0
26,MMM,2004-12-31T00:00:00Z,2757000000.0
27,MMM,2005-12-31T00:00:00Z,1072000000.0
28,MMM,2006-12-31T00:00:00Z,1918000000.0
29,MMM,2007-12-31T00:00:00Z,2475000000.0
30,MMM,2008-12-31T00:00:00Z,2222000000.0
31,MMM,2009-12-31T00:00:00Z,3784000000.0
32,MMM,2010-12-31T00:00:00Z,4478000000.0
33,MMM,2011-12-31T00:00:00Z,3680000000.0
34,MMM,2012-12-31T00:00:00Z,4531000000.0
35,MMM,2013-12-31T00:00:00Z,3337000000.0
36,MMM,2014-12-31T00:00:00Z,3336000000.0
37,MMM,2015-12-31T00:00:00Z,1916000000.0
38,MMM,2016-12-31T00:00:00Z,2678000000.0
39,MMM,2017-12-31T00:00:00Z,4129000000.0
40,MMM,2018-12-31T00:00:00Z,3233000000.0
41,MMM,2019-12-31T00:00:00Z,2921000000.0
42,MMM,2020-12-31T00:00:00Z,5038000000.0
43,AOS,1983-12-31T00:00:00Z,
44,AOS,1983-12-31T00:00:00Z,
45,AOS,1983-12-31T00:00:00Z,
46,AOS,1983-12-31T00:00:00Z,
47,AOS,1983-12-31T00:00:00Z,
48,AOS,1983-12-31T00:00:00Z,7885000.0
49,AOS,1984-12-31T00:00:00Z,7900000.0
50,AOS,1985-12-31T00:00:00Z,15084000.0
51,AOS,1986-12-31T00:00:00Z,5083000.0
52,AOS,1987-12-31T00:00:00Z,3556000.0
53,AOS,1988-12-31T00:00:00Z,2518000.0
54,AOS,1990-12-31T00:00:00Z,3211000.0
55,AOS,1991-12-31T00:00:00Z,8889000.0
56,AOS,1991-12-31T00:00:00Z,8889000.0
57,AOS,1992-12-31T00:00:00Z,6025000.0
58,AOS,1993-12-31T00:00:00Z,11902000.0
59,AOS,1994-12-31T00:00:00Z,8485000.0
60,AOS,1995-12-31T00:00:00Z,4807000.0
61,AOS,1996-12-31T00:00:00Z,6405000.0
62,AOS,1997-12-31T00:00:00Z,145896000.0
63,AOS,1998-12-31T00:00:00Z,37666000.0
64,AOS,1999-12-31T00:00:00Z,14761000.0
65,AOS,2000-12-31T00:00:00Z,15287000.0
66,AOS,2001-12-31T00:00:00Z,20759000.0
67,AOS,2002-12-31T00:00:00Z,32800000.0
68,AOS,2003-12-31T00:00:00Z,18700000.0
69,AOS,2004-12-31T00:00:00Z,25100000.0
70,AOS,2005-12-31T00:00:00Z,24000000.0
71,AOS,2006-12-31T00:00:00Z,25800000.0
72,AOS,2007-12-31T00:00:00Z,37200000.0
73,AOS,2008-12-31T00:00:00Z,35300000.0
74,AOS,2009-12-31T00:00:00Z,76300000.0
75,AOS,2010-12-31T00:00:00Z,118900000.0
76,AOS,2011-12-31T00:00:00Z,625800000.0
77,AOS,2012-12-31T00:00:00Z,462900000.0
78,AOS,2013-12-31T00:00:00Z,486000000.0
79,AOS,2014-12-31T00:00:00Z,541900000.0
80,AOS,2015-12-31T00:00:00Z,645200000.0
81,AOS,2016-12-31T00:00:00Z,754600000.0
82,AOS,2017-12-31T00:00:00Z,820000000.0
83,AOS,2018-12-31T00:00:00Z,645000000.0
84,AOS,2019-12-31T00:00:00Z,551400000.0
85,AOS,2020-12-31T00:00:00Z,689600000.0
86,ABT,1983-12-31T00:00:00Z,
87,ABT,1983-12-31T00:00:00Z,
88,ABT,1983-12-31T00:00:00Z,
89,ABT,1983-12-31T00:00:00Z,
90,ABT,1983-12-31T00:00:00Z,
91,ABT,1983-12-31T00:00:00Z,213035000.0
92,ABT,1984-12-31T00:00:00Z,447094000.0
93,ABT,1985-12-31T00:00:00Z,437458000.0
94,ABT,1986-12-31T00:00:00Z,481611000.0
95,ABT,1987-12-31T00:00:00Z,519926000.0
96,ABT,1988-12-31T00:00:00Z,582648000.0
97,ABT,1989-12-31T00:00:00Z,48667000.0
98,ABT,1990-12-31T00:00:00Z,53150000.0
99,ABT,1991-12-31T00:00:00Z,146233000.0
100,ABT,1992-12-31T00:00:00Z,258177000.0
101,ABT,1993-12-31T00:00:00Z,378825000.0
102,ABT,1994-12-31T00:00:00Z,315328000.0
103,ABT,1995-12-31T00:00:00Z,315697000.0
104,ABT,1996-12-31T00:00:00Z,123084000.0
105,ABT,1997-12-31T00:00:00Z,292558000.0
106,ABT,1998-12-31T00:00:00Z,411065000.0
107,ABT,1999-12-31T00:00:00Z,723296000.0
108,ABT,2000-12-31T00:00:00Z,1156718000.0
109,ABT,2001-12-31T00:00:00Z,713540000.0
110,ABT,2002-12-31T00:00:00Z,966127000.0
111,ABT,2003-12-31T00:00:00Z,1286421000.0
112,ABT,2004-12-31T00:00:00Z,2058962000.0
113,ABT,2005-12-31T00:00:00Z,2956093000.0
114,ABT,2006-12-31T00:00:00Z,1373435000.0
115,ABT,2007-12-31T00:00:00Z,2820827000.0
116,ABT,2008-12-31T00:00:00Z,5079625000.0
117,ABT,2009-12-31T00:00:00Z,9932048000.0
118,ABT,2010-12-31T00:00:00Z,5451450000.0
119,ABT,2011-12-31T00:00:00Z,8097359000.0
120,ABT,2012-12-31T00:00:00Z,15174000000.0
121,ABT,2013-12-31T00:00:00Z,8098000000.0
122,ABT,2014-12-31T00:00:00Z,4460000000.0
123,ABT,2015-12-31T00:00:00Z,6125000000.0
124,ABT,2016-12-31T00:00:00Z,18775000000.0
125,ABT,2017-12-31T00:00:00Z,9610000000.0
126,ABT,2018-12-31T00:00:00Z,4086000000.0
127,ABT,2019-12-31T00:00:00Z,4140000000.0
128,ABT,2020-12-31T00:00:00Z,7148000000.0
130,ACN,1999-08-31T00:00:00Z,
131,ACN,1999-08-31T00:00:00Z,
132,ACN,1999-08-31T00:00:00Z,
133,ACN,1999-08-31T00:00:00Z,
134,ACN,1999-08-31T00:00:00Z,
135,ACN,1999-08-31T00:00:00Z,
136,ACN,1999-08-31T00:00:00Z,
137,ACN,1999-08-31T00:00:00Z,
138,ACN,1999-08-31T00:00:00Z,
139,ACN,1999-08-31T00:00:00Z,
140,ACN,1999-08-31T00:00:00Z,
141,ACN,1999-08-31T00:00:00Z,
142,ACN,1999-08-31T00:00:00Z,
143,ACN,1999-08-31T00:00:00Z,
144,ACN,1999-08-31T00:00:00Z,
145,ACN,1999-08-31T00:00:00Z,
146,ACN,1999-08-31T00:00:00Z,
147,ACN,1999-08-31T00:00:00Z,
148,ACN,1999-08-31T00:00:00Z,
149,ACN,1999-08-31T00:00:00Z,
150,ACN,1999-08-31T00:00:00Z,1236982000.0
151,ACN,2000-08-31T00:00:00Z,1666136000.0
152,ACN,2001-08-31T00:00:00Z,1880083000.0
153,ACN,2002-08-31T00:00:00Z,1316976000.0
154,ACN,2003-08-31T00:00:00Z,2332161000.0
155,ACN,2004-08-31T00:00:00Z,2838246000.0
156,ACN,2005-08-31T00:00:00Z,2947450000.0
157,ACN,2006-08-31T00:00:00Z,3419939000.0
158,ACN,2007-08-31T00:00:00Z,3545674000.0
159,ACN,2008-08-31T00:00:00Z,3623042000.0
160,ACN,2009-08-31T00:00:00Z,4549566000.0
161,ACN,2010-08-31T00:00:00Z,4841279000.0
162,ACN,2011-08-31T00:00:00Z,5706007000.0
163,ACN,2012-08-31T00:00:00Z,6642787000.0
164,ACN,2013-08-31T00:00:00Z,5634410000.0
165,ACN,2014-08-31T00:00:00Z,4923907000.0
166,ACN,2015-08-31T00:00:00Z,4317279000.0
167,ACN,2016-08-31T00:00:00Z,4863006000.0
168,ACN,2017-08-31T00:00:00Z,4084324000.0
169,ACN,2018-08-31T00:00:00Z,5018894000.0
170,ACN,2019-08-31T00:00:00Z,6130007000.0
171,ACN,2020-08-31T00:00:00Z,8509639000.0
172,ACN,2021-08-31T00:00:00Z,8172468000.0
174,ADM,1983-06-30T00:00:00Z,
175,ADM,1983-06-30T00:00:00Z,
176,ADM,1983-06-30T00:00:00Z,
177,ADM,1983-06-30T00:00:00Z,
178,ADM,1983-06-30T00:00:00Z,271345000.0
179,ADM,1984-06-30T00:00:00Z,344033000.0
180,ADM,1985-06-30T00:00:00Z,418760000.0
181,ADM,1986-06-30T00:00:00Z,595385000.0
182,ADM,1987-06-30T00:00:00Z,465060000.0
183,ADM,1988-06-30T00:00:00Z,644447000.0
184,ADM,1989-06-30T00:00:00Z,841938000.0
185,ADM,1990-06-30T00:00:00Z,829489000.0
186,ADM,1991-06-30T00:00:00Z,890547000.0
187,ADM,1992-06-30T00:00:00Z,1403485000.0
188,ADM,1993-06-30T00:00:00Z,1868314000.0
189,ADM,1994-06-30T00:00:00Z,1335453000.0
190,ADM,1995-06-30T00:00:00Z,1119283000.0
191,ADM,1996-06-30T00:00:00Z,1354849000.0
192,ADM,1997-06-30T00:00:00Z,727996000.0
193,ADM,1998-06-30T00:00:00Z,725494000.0
194,ADM,1999-06-30T00:00:00Z,903569000.0
195,ADM,2000-06-30T00:00:00Z,931449000.0
196,ADM,2001-06-30T00:00:00Z,817758000.0
197,ADM,2002-06-30T00:00:00Z,526115000.0
198,ADM,2003-06-30T00:00:00Z,764959000.0
199,ADM,2004-06-30T00:00:00Z,540207000.0
200,ADM,2005-06-30T00:00:00Z,522420000.0
201,ADM,2006-06-30T00:00:00Z,1112853000.0
202,ADM,2007-06-30T00:00:00Z,875000000.0
203,ADM,2008-06-30T00:00:00Z,1265000000.0
204,ADM,2009-06-30T00:00:00Z,1555000000.0
205,ADM,2010-06-30T00:00:00Z,1440000000.0
206,ADM,2011-06-30T00:00:00Z,1354000000.0
207,ADM,2011-06-30T00:00:00Z,1354000000.0
208,ADM,2012-12-31T00:00:00Z,2290000000.0
209,ADM,2013-12-31T00:00:00Z,3554000000.0
210,ADM,2014-12-31T00:00:00Z,1614000000.0
211,ADM,2015-12-31T00:00:00Z,1348000000.0
212,ADM,2016-12-31T00:00:00Z,915000000.0
213,ADM,2017-12-31T00:00:00Z,804000000.0
214,ADM,2018-12-31T00:00:00Z,2003000000.0
215,ADM,2019-12-31T00:00:00Z,852000000.0
216,ADM,2020-12-31T00:00:00Z,666000000.0
219,AAP,2000-01-01T00:00:00Z,
220,AAP,2000-01-01T00:00:00Z,
221,AAP,2000-01-01T00:00:00Z,
222,AAP,2000-01-01T00:00:00Z,
223,AAP,2000-01-01T00:00:00Z,
224,AAP,2000-01-01T00:00:00Z,
225,AAP,2000-01-01T00:00:00Z,
226,AAP,2000-01-01T00:00:00Z,
227,AAP,2000-01-01T00:00:00Z,
228,AAP,2000-01-01T00:00:00Z,
229,AAP,2000-01-01T00:00:00Z,
230,AAP,2000-01-01T00:00:00Z,
231,AAP,2000-01-01T00:00:00Z,
232,AAP,2000-01-01T00:00:00Z,
233,AAP,2000-01-01T00:00:00Z,
234,AAP,2000-01-01T00:00:00Z,
235,AAP,2000-01-01T00:00:00Z,
236,AAP,2000-01-01T00:00:00Z,
237,AAP,2000-01-01T00:00:00Z,
238,AAP,2000-01-01T00:00:00Z,
239,AAP,2000-01-01T00:00:00Z,22577000.0
240,AAP,2000-12-30T00:00:00Z,18009000.0
241,AAP,2000-12-30T00:00:00Z,18009000.0
242,AAP,2001-12-29T00:00:00Z,18117000.0
243,AAP,2002-12-28T00:00:00Z,13885000.0
244,AAP,2004-01-03T00:00:00Z,11487000.0
245,AAP,2005-01-01T00:00:00Z,56321000.0
246,AAP,2005-12-31T00:00:00Z,40783000.0
247,AAP,2006-12-30T00:00:00Z,11128000.0
248,AAP,2007-12-29T00:00:00Z,14654000.0
249,AAP,2009-01-03T00:00:00Z,37358000.0
250,AAP,2010-01-02T00:00:00Z,100018000.0
251,AAP,2011-01-01T00:00:00Z,59209000.0
252,AAP,2011-12-31T00:00:00Z,57901000.0
253,AAP,2012-12-29T00:00:00Z,598111000.0
254,AAP,2013-12-28T00:00:00Z,1112471000.0
255,AAP,2015-01-03T00:00:00Z,104671000.0
256,AAP,2016-01-02T00:00:00Z,90782000.0
257,AAP,2016-12-31T00:00:00Z,135178000.0
258,AAP,2017-12-30T00:00:00Z,546937000.0
259,AAP,2018-12-29T00:00:00Z,896527000.0
260,AAP,2019-12-28T00:00:00Z,418665000.0
261,AAP,2021-01-02T00:00:00Z,834992000.0
262,AES,1990-12-31T00:00:00Z,
263,AES,1990-12-31T00:00:00Z,
264,AES,1990-12-31T00:00:00Z,
265,AES,1990-12-31T00:00:00Z,
266,AES,1990-12-31T00:00:00Z,
267,AES,1990-12-31T00:00:00Z,
268,AES,1990-12-31T00:00:00Z,
269,AES,1990-12-31T00:00:00Z,
270,AES,1990-12-31T00:00:00Z,
271,AES,1990-12-31T00:00:00Z,
272,AES,1990-12-31T00:00:00Z,
273,AES,1990-12-31T00:00:00Z,
274,AES,1990-12-31T00:00:00Z,20114000.0
275,AES,1992-12-31T00:00:00Z,76430000.0
276,AES,1992-12-31T00:00:00Z,76430000.0
277,AES,1993-12-31T00:00:00Z,156397000.0
278,AES,1994-12-31T00:00:00Z,348800000.0
279,AES,1995-12-31T00:00:00Z,297000000.0
280,AES,1996-12-31T00:00:00Z,205000000.0
281,AES,1997-12-31T00:00:00Z,429000000.0
282,AES,1998-12-31T00:00:00Z,526000000.0
283,AES,1999-12-31T00:00:00Z,833000000.0
284,AES,2000-12-31T00:00:00Z,2247000000.0
285,AES,2001-12-31T00:00:00Z,1017000000.0
286,AES,2002-12-31T00:00:00Z,969000000.0
287,AES,2003-12-31T00:00:00Z,1927000000.0
288,AES,2004-12-31T00:00:00Z,1549000000.0
289,AES,2005-12-31T00:00:00Z,1375000000.0
290,AES,2006-12-31T00:00:00Z,1998000000.0
291,AES,2007-12-31T00:00:00Z,3349000000.0
292,AES,2008-12-31T00:00:00Z,2263000000.0
293,AES,2009-12-31T00:00:00Z,3430000000.0
294,AES,2010-12-31T00:00:00Z,4243000000.0
295,AES,2011-12-31T00:00:00Z,3051000000.0
296,AES,2012-12-31T00:00:00Z,2593000000.0
297,AES,2013-12-31T00:00:00Z,2310000000.0
298,AES,2014-12-31T00:00:00Z,2248000000.0
299,AES,2015-12-31T00:00:00Z,1726000000.0
300,AES,2016-12-31T00:00:00Z,1774000000.0
301,AES,2017-12-31T00:00:00Z,1373000000.0
302,AES,2018-12-31T00:00:00Z,1479000000.0
303,AES,2019-12-31T00:00:00Z,1429000000.0
304,AES,2020-12-31T00:00:00Z,1424000000.0
305,AFL,,
306,A,2000-10-31T00:00:00Z,
307,A,2000-10-31T00:00:00Z,
308,A,2000-10-31T00:00:00Z,
309,A,2000-10-31T00:00:00Z,
310,A,2000-10-31T00:00:00Z,
311,A,2000-10-31T00:00:00Z,
312,A,2000-10-31T00:00:00Z,
313,A,2000-10-31T00:00:00Z,
314,A,2000-10-31T00:00:00Z,
315,A,2000-10-31T00:00:00Z,
316,A,2000-10-31T00:00:00Z,
317,A,2000-10-31T00:00:00Z,
318,A,2000-10-31T00:00:00Z,
319,A,2000-10-31T00:00:00Z,
320,A,2000-10-31T00:00:00Z,
321,A,2000-10-31T00:00:00Z,
322,A,2000-10-31T00:00:00Z,
323,A,2000-10-31T00:00:00Z,
324,A,2000-10-31T00:00:00Z,
325,A,2000-10-31T00:00:00Z,
326,A,2000-10-31T00:00:00Z,
327,A,2000-10-31T00:00:00Z,996000000.0
328,A,2001-10-31T00:00:00Z,1170000000.0
329,A,2002-10-31T00:00:00Z,1844000000.0
330,A,2003-10-31T00:00:00Z,1607000000.0
331,A,2004-10-31T00:00:00Z,2315000000.0
332,A,2005-10-31T00:00:00Z,2251000000.0
333,A,2006-10-31T00:00:00Z,2262000000.0
334,A,2007-10-31T00:00:00Z,1826000000.0
335,A,2008-10-31T00:00:00Z,1429000000.0
336,A,2009-10-31T00:00:00Z,2493000000.0
337,A,2010-10-31T00:00:00Z,2649000000.0
338,A,2011-10-31T00:00:00Z,3527000000.0
339,A,2012-10-31T00:00:00Z,2351000000.0
340,A,2013-10-31T00:00:00Z,2675000000.0
341,A,2014-10-31T00:00:00Z,2218000000.0
342,A,2015-10-31T00:00:00Z,2003000000.0
343,A,2016-10-31T00:00:00Z,2289000000.0
344,A,2017-10-31T00:00:00Z,2678000000.0
345,A,2018-10-31T00:00:00Z,2247000000.0
346,A,2019-10-31T00:00:00Z,1382000000.0
347,A,2020-10-31T00:00:00Z,1441000000.0
348,A,2021-10-31T00:00:00Z,1575000000.0
349,APD,1983-09-30T00:00:00Z,
350,APD,1983-09-30T00:00:00Z,
351,APD,1983-09-30T00:00:00Z,
352,APD,1983-09-30T00:00:00Z,
353,APD,1983-09-30T00:00:00Z,45335000.0
354,APD,1984-09-30T00:00:00Z,59370000.0
355,APD,1985-09-30T00:00:00Z,46225000.0
356,APD,1986-09-30T00:00:00Z,116655000.0
357,APD,1987-09-30T00:00:00Z,96635000.0
358,APD,1988-09-30T00:00:00Z,36214000.0
359,APD,1989-09-30T00:00:00Z,49502000.0
360,APD,1990-09-30T00:00:00Z,74400000.0
361,APD,1991-09-30T00:00:00Z,104400000.0
362,APD,1992-09-30T00:00:00Z,116800000.0
363,APD,1993-09-30T00:00:00Z,238400000.0
364,APD,1994-09-30T00:00:00Z,99900000.0
365,APD,1995-09-30T00:00:00Z,87000000.0
366,APD,1996-09-30T00:00:00Z,78700000.0
367,APD,1997-09-30T00:00:00Z,52500000.0
368,APD,1998-09-30T00:00:00Z,61500000.0
369,APD,1999-09-30T00:00:00Z,61600000.0
370,APD,2000-09-30T00:00:00Z,94100000.0
371,APD,2001-09-30T00:00:00Z,66200000.0
372,APD,2002-09-30T00:00:00Z,253700000.0
373,APD,2003-09-30T00:00:00Z,76200000.0
374,APD,2004-09-30T00:00:00Z,146300000.0
375,APD,2005-09-30T00:00:00Z,55800000.0
376,APD,2006-09-30T00:00:00Z,35200000.0
377,APD,2007-09-30T00:00:00Z,40500000.0
378,APD,2008-09-30T00:00:00Z,103500000.0
379,APD,2009-09-30T00:00:00Z,488200000.0
380,APD,2010-09-30T00:00:00Z,374300000.0
381,APD,2011-09-30T00:00:00Z,421400000.0
382,APD,2012-09-30T00:00:00Z,454400000.0
383,APD,2013-09-30T00:00:00Z,450400000.0
384,APD,2014-09-30T00:00:00Z,336600000.0
385,APD,2015-09-30T00:00:00Z,206400000.0
386,APD,2016-09-30T00:00:00Z,1293200000.0
387,APD,2017-09-30T00:00:00Z,3677600000.0
388,APD,2018-09-30T00:00:00Z,2976000000.0
389,APD,2019-09-30T00:00:00Z,2414700000.0
390,APD,2020-09-30T00:00:00Z,6357900000.0
391,APD,2021-09-30T00:00:00Z,5800800000.0
393,ALK,1984-12-31T00:00:00Z,
394,ALK,1984-12-31T00:00:00Z,
395,ALK,1984-12-31T00:00:00Z,
396,ALK,1984-12-31T00:00:00Z,
397,ALK,1984-12-31T00:00:00Z,
398,ALK,1984-12-31T00:00:00Z,
399,ALK,1984-12-31T00:00:00Z,60990000.0
400,ALK,1985-12-31T00:00:00Z,147982000.0
401,ALK,1986-12-31T00:00:00Z,66215000.0
402,ALK,1987-12-31T00:00:00Z,105358000.0
403,ALK,1988-12-31T00:00:00Z,48490000.0
404,ALK,1989-12-31T00:00:00Z,110606000.0
405,ALK,1991-12-31T00:00:00Z,102835000.0
406,ALK,1991-12-31T00:00:00Z,102835000.0
407,ALK,1992-12-31T00:00:00Z,83431000.0
408,ALK,1993-12-31T00:00:00Z,101149000.0
409,ALK,1994-12-31T00:00:00Z,104942000.0
410,ALK,1995-12-31T00:00:00Z,135100000.0
411,ALK,1996-12-31T00:00:00Z,101800000.0
412,ALK,1997-12-31T00:00:00Z,212700000.0
413,ALK,1998-12-31T00:00:00Z,306600000.0
414,ALK,1999-12-31T00:00:00Z,329000000.0
415,ALK,2000-12-31T00:00:00Z,461700000.0
416,ALK,2001-12-31T00:00:00Z,660600000.0
417,ALK,2002-12-31T00:00:00Z,635800000.0
418,ALK,2003-12-31T00:00:00Z,812300000.0
419,ALK,2004-12-31T00:00:00Z,873900000.0
420,ALK,2005-12-31T00:00:00Z,982600000.0
421,ALK,2006-12-31T00:00:00Z,1013900000.0
422,ALK,2007-12-31T00:00:00Z,822800000.0
423,ALK,2008-12-31T00:00:00Z,1077400000.0
424,ALK,2009-12-31T00:00:00Z,1192100000.0
425,ALK,2010-12-31T00:00:00Z,1208200000.0
426,ALK,2011-12-31T00:00:00Z,1141000000.0
427,ALK,2012-12-31T00:00:00Z,1252000000.0
428,ALK,2013-12-31T00:00:00Z,1330000000.0
429,ALK,2014-12-31T00:00:00Z,1217000000.0
430,ALK,2015-12-31T00:00:00Z,1328000000.0
431,ALK,2016-12-31T00:00:00Z,1580000000.0
432,ALK,2017-12-31T00:00:00Z,1621000000.0
433,ALK,2018-12-31T00:00:00Z,1236000000.0
434,ALK,2019-12-31T00:00:00Z,1521000000.0
435,ALK,2020-12-31T00:00:00Z,3346000000.0
436,ALB,1992-12-31T00:00:00Z,
437,ALB,1992-12-31T00:00:00Z,
438,ALB,1992-12-31T00:00:00Z,
439,ALB,1992-12-31T00:00:00Z,
440,ALB,1992-12-31T00:00:00Z,
441,ALB,1992-12-31T00:00:00Z,
442,ALB,1992-12-31T00:00:00Z,
443,ALB,1992-12-31T00:00:00Z,
444,ALB,1992-12-31T00:00:00Z,
445,ALB,1992-12-31T00:00:00Z,
446,ALB,1992-12-31T00:00:00Z,
447,ALB,1992-12-31T00:00:00Z,
448,ALB,1992-12-31T00:00:00Z,
449,ALB,1992-12-31T00:00:00Z,
450,ALB,1992-12-31T00:00:00Z,43017000.0
451,ALB,1993-12-31T00:00:00Z,32488000.0
452,ALB,1994-12-31T00:00:00Z,32114000.0
453,ALB,1995-12-31T00:00:00Z,33130000.0
454,ALB,1996-12-31T00:00:00Z,14242000.0
455,ALB,1997-12-31T00:00:00Z,34322000.0
456,ALB,1998-12-31T00:00:00Z,21180000.0
457,ALB,1999-12-31T00:00:00Z,48621000.0
458,ALB,2000-12-31T00:00:00Z,19300000.0
459,ALB,2001-12-31T00:00:00Z,30585000.0
460,ALB,2002-12-31T00:00:00Z,47784000.0
461,ALB,2003-12-31T00:00:00Z,35173000.0
462,ALB,2004-12-31T00:00:00Z,46390000.0
463,ALB,2005-12-31T00:00:00Z,58570000.0
464,ALB,2006-12-31T00:00:00Z,149499000.0
465,ALB,2007-12-31T00:00:00Z,130551000.0
466,ALB,2008-12-31T00:00:00Z,253303000.0
467,ALB,2009-12-31T00:00:00Z,308791000.0
468,ALB,2010-12-31T00:00:00Z,529650000.0
469,ALB,2011-12-31T00:00:00Z,469416000.0
470,ALB,2012-12-31T00:00:00Z,477696000.0
471,ALB,2013-12-31T00:00:00Z,477239000.0
472,ALB,2014-12-31T00:00:00Z,2489768000.0
473,ALB,2015-12-31T00:00:00Z,213734000.0
474,ALB,2016-12-31T00:00:00Z,2269756000.0
475,ALB,2017-12-31T00:00:00Z,1137303000.0
476,ALB,2018-12-31T00:00:00Z,555320000.0
477,ALB,2019-12-31T00:00:00Z,613110000.0
478,ALB,2020-12-31T00:00:00Z,746724000.0
479,ARE,1995-12-31T00:00:00Z,
480,ARE,1995-12-31T00:00:00Z,
481,ARE,1995-12-31T00:00:00Z,
482,ARE,1995-12-31T00:00:00Z,
483,ARE,1995-12-31T00:00:00Z,
484,ARE,1995-12-31T00:00:00Z,
485,ARE,1995-12-31T00:00:00Z,
486,ARE,1995-12-31T00:00:00Z,
487,ARE,1995-12-31T00:00:00Z,
488,ARE,1995-12-31T00:00:00Z,
489,ARE,1995-12-31T00:00:00Z,
490,ARE,1995-12-31T00:00:00Z,
491,ARE,1995-12-31T00:00:00Z,
492,ARE,1995-12-31T00:00:00Z,
493,ARE,1995-12-31T00:00:00Z,
494,ARE,1995-12-31T00:00:00Z,
495,ARE,1995-12-31T00:00:00Z,919000.0
496,ARE,1995-12-31T00:00:00Z,919000.0
497,ARE,1995-12-31T00:00:00Z,919000.0
498,ARE,1997-12-31T00:00:00Z,2060000.0
499,ARE,1998-12-31T00:00:00Z,1554000.0
500,ARE,1999-12-31T00:00:00Z,3446000.0
501,ARE,2000-12-31T00:00:00Z,2776000.0
502,ARE,2001-12-31T00:00:00Z,2376000.0
503,ARE,2002-12-31T00:00:00Z,3790000.0
504,ARE,2003-12-31T00:00:00Z,4985000.0
505,ARE,2004-12-31T00:00:00Z,3158000.0
506,ARE,2005-12-31T00:00:00Z,3911000.0
507,ARE,2006-12-31T00:00:00Z,2948000.0
508,ARE,2007-12-31T00:00:00Z,8030000.0
509,ARE,2008-12-31T00:00:00Z,71161000.0
510,ARE,2009-12-31T00:00:00Z,70628000.0
511,ARE,2010-12-31T00:00:00Z,91232000.0
512,ARE,2011-12-31T00:00:00Z,78539000.0
513,ARE,2012-12-31T00:00:00Z,140971000.0
514,ARE,2013-12-31T00:00:00Z,57696000.0
515,ARE,2014-12-31T00:00:00Z,86011000.0
516,ARE,2015-12-31T00:00:00Z,125098000.0
517,ARE,2016-12-31T00:00:00Z,125032000.0
518,ARE,2017-12-31T00:00:00Z,254381000.0
519,ARE,2018-12-31T00:00:00Z,234181000.0
520,ARE,2019-12-31T00:00:00Z,189681000.0
521,ARE,2020-12-31T00:00:00Z,568532000.0
525,ALL,,
528,MO,1983-12-31T00:00:00Z,
529,MO,1983-12-31T00:00:00Z,
530,MO,1983-12-31T00:00:00Z,
531,MO,1983-12-31T00:00:00Z,
532,MO,1983-12-31T00:00:00Z,
533,MO,1983-12-31T00:00:00Z,30000000.0
534,MO,1984-12-31T00:00:00Z,94000000.0
535,MO,1985-12-31T00:00:00Z,156000000.0
536,MO,1986-12-31T00:00:00Z,73000000.0
537,MO,1987-12-31T00:00:00Z,90000000.0
538,MO,1988-12-31T00:00:00Z,168000000.0
539,MO,1989-12-31T00:00:00Z,118000000.0
540,MO,1990-12-31T00:00:00Z,146000000.0
541,MO,1991-12-31T00:00:00Z,126000000.0
542,MO,1992-12-31T00:00:00Z,1021000000.0
543,MO,1993-12-31T00:00:00Z,182000000.0
544,MO,1994-12-31T00:00:00Z,184000000.0
545,MO,1995-12-31T00:00:00Z,1138000000.0
546,MO,1996-12-31T00:00:00Z,240000000.0
547,MO,1997-12-31T00:00:00Z,2282000000.0
548,MO,1998-12-31T00:00:00Z,4081000000.0
549,MO,1999-12-31T00:00:00Z,5100000000.0
550,MO,2000-12-31T00:00:00Z,937000000.0
551,MO,2001-12-31T00:00:00Z,453000000.0
552,MO,2002-12-31T00:00:00Z,565000000.0
553,MO,2003-12-31T00:00:00Z,3777000000.0
554,MO,2004-12-31T00:00:00Z,5744000000.0
555,MO,2005-12-31T00:00:00Z,6258000000.0
